Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
245,136,4,36,8,4,,46,8,9,36,1,0
245,126,6,42,6,8,,37,6,18,38,1,0
240,160,0,0,17,16,,48,9,7,35,1,0
240,170,0,0,17,5,,55,17,0,26,1,1
242,66,2,104,13,5,,43,30,12,14,1,0
NA,NA,NA,NA,NA,NA,,48,9,7,34,1,1
97,6,159,164,6,5,,0,36,55,8,1,0
230,17,6,150,0,1,,53,26,2,18,1,0
120,13,140,159,2,3,,34,20,21,24,1,0
257,4,3,168,2,3,,47,16,8,28,1,0
175,166,80,5,7,4,,27,34,28,10,1,0
162,6,98,166,2,3,,,,,,,
175,167,80,4,2,4,,,,,,,
234,166,21,6,2,3,,,,,,,
248,173,7,0,2,2,,,,,,,
248,1,2,173,7,1,,,,,,,
246,1,1,172,10,2,,,,,,,
237,17,5,150,15,8,,,,,,,
252,0,5,174,0,1,,,,,,,
NA,NA,NA,NA,NA,NA,,,,,,,
NA,NA,NA,NA,NA,NA,,,,,,,
217,0,1,41,175,0,,,,,,,
247,8,4,162,6,5,,,,,,,
248,26,6,146,3,3,,,,,,,
104,36,139,134,14,5,,,,,,,
197,146,40,20,20,9,,,,,,,
245,0,3,169,9,6,,,,,,,
153,6,105,167,4,2,,,,,,,
5,113,251,60,6,2,,,,,,,
185,16,71,156,6,3,,,,,,,
151,31,101,139,10,5,,,,,,,
156,31,100,140,6,4,,,,,,,
153,41,102,129,7,5,,,,,,,
226,59,25,112,11,4,,,,,,,
253,170,0,0,9,5,,,,,,,
181,28,73,143,8,4,,,,,,,
26,145,225,25,11,5,,,,,,,
200,55,47,113,15,7,,,,,,,
7,144,237,23,18,8,,,,,,,
236,0,2,167,19,8,,,,,,,
233,0,2,167,22,8,,,,,,,
197,1,45,166,20,8,,,,,,,
192,6,49,161,21,8,,,,,,,
133,22,110,146,19,7,,,,,,,
17,132,226,36,19,7,,,,,,,
213,0,20,170,0,1,,,,,,,
250,160,2,13,0,1,,,,,,,
245,160,2,13,10,2,,,,,,,
22,158,227,14,0,1,,,,,,,
190,24,59,148,0,1,,,,,,,
1,10,224,152,32,13,,,,,,,
227,163,0,1,30,11,,,,,,,
248,90,1,84,8,1,,,,,,,
251,173,0,0,0,1,,,,,,,
251,174,1,0,5,1,,,,,,,
249,170,0,3,8,2,,,,,,,
251,171,0,2,6,2,,,,,,,
251,170,0,4,6,1,,,,,,,
243,114,9,60,5,1,,,,,,,
248,172,4,2,5,1,,,,,,,
250,174,0,0,7,1,,,,,,,
238,121,11,53,8,1,,,,,,,
161,95,86,77,11,3,,,,,,,
182,135,76,40,4,0,,,,,,,
179,101,81,73,2,1,,,,,,,
3,81,247,89,12,5,,,,,,,
23,130,226,44,13,1,,,,,,,
32,104,221,68,9,3,,,,,,,
53,154,202,19,7,2,,,,,,,
183,128,55,38,19,9,,,,,,,
172,94,62,70,23,11,,,,,,,
219,92,15,74,23,9,,,,,,,
223,17,3,146,31,12,,,,,,,
209,174,40,0,1,0,,,,,,,
239,1,10,172,8,2,,,,,,,
157,11,101,163,4,1,,,,,,,
30,114,230,60,2,1,,,,,,,
140,161,121,12,1,2,,,,,,,
247,158,10,16,5,1,,,,,,,
247,26,9,147,1,2,,,,,,,
227,86,24,85,6,4,,,,,,,
246,173,0,0,11,2,,,,,,,
214,107,41,66,2,2,,,,,,,
232,59,24,114,1,2,,,,,,,
254,172,0,1,3,2,,,,,,,
210,55,44,118,3,2,,,,,,,
134,161,120,12,3,2,,,,,,,
248,156,7,16,2,3,,,,,,,
20,172,236,1,1,2,,,,,,,
230,38,25,136,2,1,,,,,,,
253,0,2,174,2,1,,,,,,,
195,11,48,158,14,6,,,,,,,
144,33,111,137,7,5,,,,,,,
149,24,106,150,7,1,,,,,,,
153,37,104,137,5,1,,,,,,,
230,95,24,77,3,3,,,,,,,
255,174,0,0,2,1,,,,,,,
114,9,139,165,4,1,,,,,,,
226,11,24,164,7,0,,,,,,,
66,151,189,22,7,2,,,,,,,
138,171,111,3,13,1,,,,,,,
239,71,12,103,6,1,,,,,,,
165,105,86,68,11,2,,,,,,,
242,131,6,42,14,2,,,,,,,
92,18,148,145,22,12,,,,,,,
13,154,242,16,7,5,,,,,,,
242,132,8,41,7,2,,,,,,,
250,133,1,41,6,1,,,,,,,
246,173,0,0,16,2,,,,,,,
1,129,254,45,7,1,,,,,,,
250,173,0,0,7,2,,,,,,,
249,57,2,116,6,2,,,,,,,
238,1,13,172,6,2,,,,,,,
223,1,24,171,10,3,,,,,,,
NA,NA,NA,NA,NA,NA,,,,,,,
14,89,240,85,8,1,,,,,,,
25,126,232,48,5,1,,,,,,,
47,163,203,10,7,2,,,,,,,
235,68,13,106,9,1,,,,,,,
232,2,16,171,9,2,,,,,,,
146,2,103,171,8,2,,,,,,,
209,17,6,139,42,19,,,,,,,
214,24,13,137,30,14,,,,,,,
11,117,231,45,20,13,,,,,,,
221,80,15,80,21,15,,,,,,,
98,61,152,111,7,3,,,,,,,
166,115,85,58,6,2,,,,,,,
247,25,3,148,7,2,,,,,,,
240,100,14,75,3,0,,,,,,,
234,166,21,9,2,0,,,,,,,
93,143,161,32,3,0,,,,,,,
250,171,2,0,5,4,,,,,,,
229,73,8,92,1,0,,,,,,,
191,14,64,160,2,1,,,,,,,
253,168,0,2,4,5,,,,,,,
248,118,5,56,4,1,,,,,,,
157,102,98,73,2,0,,,,,,,
218,34,36,138,3,3,,,,,,,
238,57,14,117,5,1,,,,,,,
226,66,24,107,7,2,,,,,,,
231,85,20,86,6,4,,,,,,,
222,109,21,60,14,6,,,,,,,
168,59,77,112,12,4,,,,,,,
76,151,173,20,8,4,,,,,,,
158,167,90,3,9,5,,,,,,,
213,41,35,130,9,4,,,,,,,
230,12,5,155,1,0,,,,,,,
239,169,3,0,15,6,,,,,,,
217,21,35,152,5,2,,,,,,,
202,22,51,150,4,3,,,,,,,
251,0,1,169,5,6,,,,,,,
242,13,6,151,9,11,,,,,,,
18,160,232,5,12,10,,,,,,,
216,11,31,153,10,11,,,,,,,
247,120,5,54,5,1,,,,,,,
251,121,1,53,5,1,,,,,,,
225,9,27,165,5,1,,,,,,,
250,162,1,11,6,2,,,,,,,
250,143,2,30,5,2,,,,,,,
104,171,144,1,9,3,,,,,,,
52,12,201,160,9,3,,,,,,,
36,73,212,96,14,6,,,,,,,
230,116,11,54,16,5,,,,,,,
229,160,3,5,25,10,,,,,,,
232,120,5,44,20,11,,,,,,,
236,19,5,149,16,7,,,,,,,
243,5,5,167,9,3,,,,,,,
57,169,198,3,2,3,,,,,,,
20,154,235,19,7,2,,,,,,,
238,37,16,134,3,4,,,,,,,
55,168,200,3,3,4,,,,,,,
224,2,30,170,4,3,,,,,,,
224,13,26,156,7,6,,,,,,,
256,174,2,0,4,1,,,,,,,
96,139,162,36,4,0,,,,,,,
65,110,191,65,6,0,,,,,,,
249,175,4,0,4,0,,,,,,,
99,138,156,36,2,1,,,,,,,
64,136,191,37,2,2,,,,,,,
184,54,69,119,4,2,,,,,,,
223,50,15,120,19,5,,,,,,,
124,168,114,2,19,5,,,,,,,
232,18,5,152,20,5,,,,,,,
47,136,212,37,3,2,,,,,,,
160,38,97,135,5,2,,,,,,,
15,134,239,38,8,3,,,,,,,
32,161,224,13,6,1,,,,,,,
214,16,5,138,38,21,,,,,,,
202,140,52,32,3,3,,,,,,,
NA,NA,NA,NA,NA,NA,,,,,,,
102,132,0,156,43,1,,,,,,,
11,137,237,32,9,6,,,,,,,
245,70,6,102,6,3,,,,,,,
214,18,36,156,7,1,,,,,,,
181,169,77,4,4,2,,,,,,,
44,133,214,40,4,2,,,,,,,
176,169,75,4,6,2,,,,,,,
