Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
142,32,90,167,3,3,,,,,,,
66,188,164,6,5,8,,,,,,,
16,189,214,5,5,8,,,,,,,
216,139,14,55,5,8,,,,,,,
26,166,203,29,6,7,,,,,,,
1,136,229,58,5,8,,,,,,,
15,185,216,10,5,7,,,,,,,
207,16,24,177,5,9,,,,,,,
25,180,206,12,4,10,,,,,,,
15,59,207,136,13,7,,,,,,,
180,23,42,172,12,7,,,,,,,
3,149,222,46,10,7,,,,,,,
7,161,218,34,10,7,,,,,,,
12,167,213,28,10,7,,,,,,,
199,191,27,3,9,8,,,,,,,
0,84,227,110,8,8,,,,,,,
210,31,14,164,7,6,,,,,,,
216,1,1,178,14,22,,,,,,,
221,1,0,179,10,21,,,,,,,
37,181,189,2,9,19,,,,,,,
9,168,217,14,9,20,,,,,,,
3,178,215,2,13,21,,,,,,,
202,14,11,165,18,22,,,,,,,
205,176,0,0,26,25,,,,,,,
206,175,0,0,25,26,,,,,,,
4,152,228,46,3,4,,,,,,,
38,158,194,39,3,5,,,,,,,
23,144,210,54,2,4,,,,,,,
8,148,221,49,6,5,,,,,,,
0,153,230,44,5,5,,,,,,,
226,26,7,171,2,5,,,,,,,
24,170,209,27,2,5,,,,,,,
13,159,220,38,2,5,,,,,,,
1,97,231,100,3,5,,,,,,,
1,96,228,100,6,6,,,,,,,
1,113,231,85,3,4,,,,,,,
2,96,231,102,2,4,,,,,,,
211,72,20,125,4,5,,,,,,,
4,133,223,62,8,7,,,,,,,
1,103,229,94,5,5,,,,,,,
3,94,226,104,6,4,,,,,,,
1,103,232,96,2,3,,,,,,,
1,65,232,132,2,5,,,,,,,
1,85,232,111,2,6,,,,,,,
1,149,233,48,1,5,,,,,,,
