Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
190,50,25,147,2,13,,48,30,2,18,0,1
32,166,183,32,2,12,,49,0,1,1,49,0
4,192,211,8,2,10,,45,3,5,46,0,0
212,183,1,16,4,11,,32,46,18,3,0,0
212,205,0,0,5,5,,15,18,35,30,0,1
212,205,0,0,5,5,,50,46,0,0,0,3
210,204,1,0,6,6,,46,4,3,44,1,1
8,91,206,115,1,0,,47,22,1,3,27,0
211,204,3,2,3,4,,41,29,1,9,20,0
65,120,150,87,2,3,,43,10,5,38,2,1
54,145,160,64,4,1,,46,17,2,29,0,1
105,72,106,130,6,8,,39,11,9,37,2,1
60,132,151,72,6,6,,48,4,1,44,1,1
59,174,152,30,6,6,,48,47,1,1,1,1
118,175,92,29,7,6,,48,48,0,0,2,1
150,139,58,61,9,10,,43,44,6,3,1,2
208,201,0,0,9,9,,49,4,0,43,1,2
206,200,2,1,9,9,,38,29,11,16,1,4
1,97,212,113,4,0,,49,5,0,40,1,4
210,141,1,69,6,0,,40,20,9,24,1,5
NA,NA,NA,NA,NA,NA,,47,11,2,36,1,2
73,2,141,206,3,2,,48,5,1,42,1,2
104,2,107,203,6,5,,48,41,1,6,1,2
96,8,114,196,7,6,,44,11,5,35,1,3
147,7,63,198,7,5,,49,44,0,2,1,3
169,201,41,2,7,7,,,,,,,
208,6,3,201,7,3,,,,,,,
211,2,0,206,6,2,,,,,,,
209,3,3,204,6,3,,,,,,,
1,72,209,133,7,5,,,,,,,
206,129,3,75,0,1,,,,,,,
207,194,0,0,0,10,,,,,,,
205,205,1,0,11,5,,,,,,,
180,199,27,5,10,6,,,,,,,
209,200,1,0,7,10,,,,,,,
210,207,0,0,7,3,,,,,,,
190,172,8,26,19,12,,,,,,,
185,193,24,3,8,14,,,,,,,
206,200,1,0,10,10,,,,,,,
209,203,0,0,8,7,,,,,,,
211,205,0,0,7,6,,,,,,,
210,205,0,0,8,6,,,,,,,
210,145,3,62,5,4,,,,,,,
197,167,12,36,9,8,,,,,,,
215,2,0,206,3,3,,,,,,,
213,10,0,198,5,3,,,,,,,
0,165,216,43,2,3,,,,,,,
0,198,217,11,2,2,,,,,,,
211,3,7,206,1,2,,,,,,,
210,206,0,0,8,5,,,,,,,
193,165,13,39,12,7,,,,,,,
201,203,0,0,17,8,,,,,,,
205,201,0,0,13,10,,,,,,,
203,200,1,0,14,11,,,,,,,
202,200,0,0,16,11,,,,,,,
202,200,0,0,16,11,,,,,,,
192,179,11,28,1,0,,,,,,,
179,158,35,49,4,4,,,,,,,
214,206,0,0,4,5,,,,,,,
213,205,0,2,5,4,,,,,,,
202,194,14,15,2,2,,,,,,,
182,190,33,18,3,3,,,,,,,
200,177,10,23,1,0,,,,,,,
214,2,1,205,3,4,,,,,,,
215,161,2,48,1,2,,,,,,,
209,12,6,195,3,4,,,,,,,
0,11,207,192,11,8,,,,,,,
8,205,210,6,1,0,,,,,,,
0,200,216,9,3,2,,,,,,,
210,74,2,136,7,1,,,,,,,
212,185,0,0,6,26,,,,,,,
205,184,4,0,9,27,,,,,,,
209,185,0,0,9,26,,,,,,,
205,197,2,0,11,14,,,,,,,
209,198,0,0,9,13,,,,,,,
189,182,22,22,7,7,,,,,,,
