Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
223,198,0,0,5,7,,50,41,0,0,1,7
220,197,6,2,2,6,,49,0,2,45,0,3
225,4,0,192,3,9,,51,3,0,42,0,3
224,11,0,187,4,7,,51,0,0,44,0,4
208,138,14,60,6,7,,42,1,9,43,0,4
3,181,222,16,3,8,,8,45,43,0,0,3
1,184,223,11,4,10,,3,44,48,0,0,4
0,169,226,29,2,7,,33,44,18,0,0,4
1,183,224,16,3,6,,51,45,0,0,0,3
221,32,3,166,4,7,,30,40,21,0,0,8
225,0,0,200,3,5,,44,40,7,0,0,8
215,9,9,191,5,5,,50,40,0,0,1,8
12,192,200,1,17,12,,47,41,0,0,4,7
197,171,0,0,31,34,,50,43,0,0,1,5
201,174,0,0,27,31,,50,14,0,30,1,4
202,175,0,0,26,30,,50,3,0,40,1,5
226,0,0,199,2,6,,50,2,0,41,1,5
224,198,0,0,4,7,,49,44,1,0,1,4
223,199,0,0,5,6,,50,0,0,44,1,4
220,200,3,0,5,5,,48,44,2,0,1,4
222,198,0,1,6,6,,50,2,0,42,1,4
227,0,0,199,1,6,,51,0,0,44,0,4
227,3,1,197,0,5,,38,41,12,3,1,4
211,153,15,44,1,0,,36,44,15,0,0,4
2,185,226,13,1,7,,51,11,0,33,0,4
223,41,4,158,2,6,,49,22,1,22,1,4
224,0,0,197,4,8,,49,43,0,0,2,5
224,0,0,198,4,7,,50,44,0,0,1,4
0,195,225,1,3,9,,0,42,49,1,2,5
0,198,226,0,2,7,,32,46,19,0,0,2
223,29,1,168,4,8,,0,44,51,2,0,2
0,182,224,14,0,1,,48,2,3,44,0,2
0,191,224,6,4,8,,0,44,50,1,1,3
226,36,1,160,2,9,,2,45,48,1,1,2
202,180,1,0,25,25,,0,42,49,3,2,3
202,178,0,0,26,27,,0,44,49,2,2,2
201,180,1,0,26,25,,0,40,49,5,2,3
198,181,3,0,27,24,,50,1,1,43,0,4
221,0,0,195,7,10,,7,42,44,2,0,4
220,0,0,196,8,9,,5,42,46,2,0,4
217,198,3,0,8,7,,2,43,49,1,0,4
221,199,0,0,7,6,,0,43,50,0,1,5
221,1,0,199,7,5,,3,42,46,0,2,6
217,168,0,27,11,10,,50,42,0,1,1,5
20,128,202,72,6,5,,49,41,0,0,2,7
78,199,146,0,4,6,,51,2,0,42,0,4
102,0,122,199,4,6,,4,27,47,18,0,3
223,201,2,0,3,4,,45,21,6,23,0,4
220,195,0,0,8,10,,4,43,47,3,0,2
210,198,2,0,16,7,,51,4,0,42,0,2
213,197,0,0,15,8,,48,5,3,40,0,3
208,200,0,0,20,5,,47,7,4,39,0,2
212,199,0,0,16,6,,42,8,8,39,1,1
212,199,0,0,16,6,,51,2,0,44,0,2
211,187,1,4,0,7,,48,35,3,11,0,2
222,195,0,0,6,10,,44,22,7,24,0,2
1,74,223,124,4,7,,43,22,7,24,1,2
1,183,223,16,4,6,,49,46,0,0,2,2
225,1,1,201,3,3,,48,46,0,0,3,2
219,2,4,198,6,5,,3,42,47,1,1,5
225,1,1,201,2,3,,11,42,40,2,0,4
220,0,0,199,8,6,,0,41,51,3,0,4
224,203,0,0,4,2,,3,42,47,2,1,4
224,201,1,0,3,4,,9,42,42,1,0,5
208,148,17,51,3,6,,51,42,0,1,0,5
222,15,2,188,5,2,,0,40,46,1,5,7
NA,NA,NA,NA,NA,NA,,1,41,46,0,4,7
0,174,226,29,0,1,,0,43,50,1,1,4
3,204,223,0,3,1,,5,43,45,1,1,4
207,9,19,195,1,0,,1,41,48,3,2,4
216,193,2,7,10,5,,3,43,46,1,2,4
28,29,192,165,8,11,,6,47,44,1,1,0
222,177,1,17,6,11,,1,42,49,4,1,2
221,193,0,0,7,12,,7,41,43,3,1,4
224,6,0,191,4,8,,2,44,48,1,1,3
223,29,1,168,4,8,,2,44,48,1,1,3
221,194,2,2,5,9,,6,44,44,0,1,4
207,196,17,0,4,9,,2,43,48,1,1,4
223,0,0,199,5,6,,5,43,45,1,1,4
223,187,1,12,4,6,,0,27,50,17,1,4
217,199,7,0,4,6,,0,42,49,2,2,4
207,154,10,44,1,0,,7,0,42,44,2,4
206,187,15,11,7,7,,3,42,47,2,1,4
196,144,18,46,1,0,,16,35,34,9,1,4
0,198,221,1,7,6,,49,44,0,0,2,4
0,196,223,1,5,8,,12,42,38,2,1,4
11,198,212,0,5,7,,48,5,1,39,2,4
3,195,220,3,5,7,,49,42,0,0,2,6
14,195,210,3,5,7,,49,43,0,0,2,5
177,33,46,165,1,0,,49,42,0,0,2,6
215,0,9,198,5,7,,49,42,0,0,2,6
47,146,165,43,16,16,,48,40,0,0,3,8
65,157,148,31,15,17,,48,40,0,0,3,8
63,5,148,184,17,16,,6,42,45,0,0,6
48,150,162,40,18,15,,51,42,0,0,0,6
200,147,18,45,10,13,,47,44,4,0,0,4
1,189,218,3,10,13,,46,6,5,38,0,4
222,0,1,199,5,6,,49,4,2,40,0,4
220,197,2,0,1,0,,4,39,47,4,0,5
194,22,31,179,4,4,,1,41,50,2,0,5
48,62,175,137,5,6,,47,43,0,0,4,5
72,2,150,199,6,4,,50,44,0,0,1,4
173,14,50,186,5,5,,50,44,0,0,1,4
39,167,186,33,3,5,,50,44,0,0,1,4
203,23,21,176,4,6,,48,44,0,0,3,4
172,195,48,4,8,6,,49,37,0,0,2,11
189,192,34,8,5,5,,49,42,0,0,2,6
5,200,220,0,4,5,,49,44,0,0,2,4
219,0,0,198,9,7,,1,36,50,9,0,3
221,11,0,188,7,6,,51,46,0,1,0,1
220,200,2,0,6,5,,50,7,1,40,0,1
222,200,0,0,6,5,,51,5,0,41,0,2
222,175,0,23,6,7,,51,46,0,0,0,2
35,189,189,11,0,1,,46,2,0,37,5,9
30,153,194,47,4,5,,51,43,0,0,0,5
76,5,147,193,5,7,,3,43,48,0,0,5
108,4,117,195,3,6,,51,8,0,34,0,6
20,176,205,23,3,6,,50,7,1,37,0,4
119,9,107,190,2,6,,4,42,46,3,1,3
34,129,184,70,10,6,,42,3,9,42,0,3
24,175,194,25,10,5,,51,45,0,0,0,3
20,177,199,23,9,5,,50,44,1,1,0,3
25,185,194,15,9,5,,51,6,0,41,0,1
20,164,200,34,8,7,,51,13,0,34,0,1
163,198,57,0,8,7,,50,47,0,0,1,1
206,20,14,179,8,6,,51,46,0,0,0,2
201,67,18,133,9,5,,8,42,43,4,0,2
3,198,214,0,11,7,,48,47,3,0,0,1
101,92,107,106,20,7,,51,4,0,43,0,1
21,131,186,65,21,9,,48,4,3,43,0,1
76,6,134,192,18,7,,51,47,0,0,0,1
2,97,208,101,18,7,,51,5,0,42,0,1
188,188,18,8,23,9,,51,16,0,31,0,1
3,184,200,1,26,20,,49,2,1,45,1,1
170,0,0,142,59,63,,49,33,0,14,2,1
4,188,212,0,12,17,,48,1,0,45,3,2
217,191,0,0,11,14,,45,10,4,38,2,0
215,192,0,0,13,13,,50,37,0,11,1,0
220,1,0,198,8,6,,42,39,0,0,9,9
0,76,217,118,11,11,,47,17,3,30,1,1
1,82,212,107,15,16,,50,8,1,38,0,2
2,72,198,109,28,24,,51,45,0,0,0,3
141,4,84,194,3,7,,30,6,19,39,2,3
216,91,10,108,2,6,,29,30,19,15,3,3
34,139,194,60,1,6,,50,44,0,1,1,3
113,195,114,4,1,6,,3,43,47,1,0,1
120,2,107,197,1,6,,19,43,31,0,0,1
223,0,0,192,6,13,,47,43,3,0,1,5
226,5,0,197,2,3,,46,39,0,0,5,9
0,28,220,168,8,9,,51,36,0,8,0,4
224,2,0,199,4,4,,35,4,16,41,0,3
223,0,0,200,5,5,,0,43,51,2,0,3
222,59,0,143,6,3,,2,40,49,5,0,3
223,5,0,196,5,4,,51,45,0,1,0,2
1,28,220,173,0,1,,48,45,3,0,0,3
223,200,0,0,5,5,,32,45,17,0,2,3
210,50,13,147,5,8,,51,2,0,43,0,3
15,136,208,65,5,4,,6,36,45,10,0,2
3,81,218,121,7,3,,0,35,51,9,0,4
204,195,16,5,8,5,,50,8,0,35,1,5
0,84,212,105,17,16,,51,11,0,32,0,5
0,63,211,130,17,12,,50,11,1,32,0,5
3,188,219,9,7,8,,50,12,0,31,1,5
12,182,209,17,8,6,,46,11,3,30,2,7
98,12,122,186,8,7,,50,11,0,30,1,7
80,110,143,88,6,7,,50,30,0,13,1,5
177,192,45,5,6,8,,47,42,1,0,3,6
221,87,3,111,4,7,,3,41,46,1,2,6
223,46,0,152,5,7,,1,40,48,2,2,6
197,75,27,127,4,3,,0,40,49,2,2,6
0,33,226,156,2,16,,48,38,0,2,3,8
223,75,3,126,2,4,,48,22,0,23,3,3
225,51,0,151,3,3,,47,14,1,30,3,4
195,75,27,128,6,2,,3,37,48,8,0,3
1,22,221,170,0,1,,51,43,0,2,0,3
1,40,217,152,0,1,,51,45,0,0,0,3
224,192,0,10,4,3,,12,44,39,1,0,3
1,34,225,167,2,4,,3,36,47,8,1,4
4,194,224,7,1,4,,49,2,0,42,2,4
4,195,222,7,3,3,,10,27,39,17,2,4
1,201,225,2,3,2,,29,7,20,37,2,4
217,0,12,203,0,2,,48,44,1,0,2,4
87,155,141,45,1,5,,47,42,2,1,2,5
4,198,214,0,11,7,,48,38,0,1,3,9
4,201,216,0,9,4,,51,44,0,2,0,2
219,0,0,199,9,6,,51,46,0,0,0,2
4,197,221,0,4,8,,3,40,45,4,3,4
218,11,6,189,5,5,,51,2,0,41,0,5
148,198,76,1,4,6,,51,2,0,42,0,4
146,8,74,189,8,8,,51,2,0,42,0,4
24,192,200,8,4,5,,42,3,3,39,6,6
15,98,207,102,6,5,,51,5,0,39,0,4
